No.,Time,Source,Destination,Protocol,Length,Info
528,30.183362,10.82.126.202,52.155.169.137,TLSv1.2,141,Application Data
529,30.18353,10.82.126.202,52.155.169.137,TLSv1.2,336,Application Data
530,30.183762,10.82.126.202,52.155.169.137,TLSv1.2,92,Application Data
531,30.183919,10.82.126.202,52.155.169.137,TCP,1452,1950  >  443 [ACK] Seq=785 Ack=3973 Win=130048 Len=1398 [TCP segment of a reassembled PDU]
532,30.183919,10.82.126.202,52.155.169.137,TCP,1452,1950  >  443 [ACK] Seq=2183 Ack=3973 Win=130048 Len=1398 [TCP segment of a reassembled PDU]
533,30.183919,10.82.126.202,52.155.169.137,TLSv1.2,206,Application Data
536,30.195675,10.82.126.202,52.114.133.60,TCP,54,1949  >  443 [ACK] Seq=209 Ack=2797 Win=131328 Len=0
538,30.200713,10.82.126.202,52.114.133.60,TLSv1.2,147,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
544,30.202337,10.82.126.202,52.155.169.137,TCP,54,1950  >  443 [ACK] Seq=3733 Ack=4108 Win=130048 Len=0
547,30.202605,10.82.126.202,52.155.169.137,TCP,54,1950  >  443 [ACK] Seq=3733 Ack=6117 Win=131328 Len=0
548,30.205569,10.82.126.202,52.155.169.137,TCP,54,"1950  >  443 [FIN, ACK] Seq=3733 Ack=6117 Win=131328 Len=0"
550,30.229536,10.82.126.202,52.155.169.137,TCP,54,1950  >  443 [ACK] Seq=3734 Ack=6118 Win=131328 Len=0
552,30.385407,10.82.126.202,52.114.133.60,TLSv1.2,1026,Application Data
553,30.385919,10.82.126.202,52.114.133.60,TCP,1452,1949  >  443 [ACK] Seq=1274 Ack=4082 Win=130048 Len=1398 [TCP segment of a reassembled PDU]
554,30.385919,10.82.126.202,52.114.133.60,TLSv1.2,1244,Application Data
557,30.480872,10.82.126.202,52.114.133.60,TCP,54,"1949  >  443 [FIN, ACK] Seq=3862 Ack=4441 Win=131328 Len=0"
559,30.571066,10.82.126.202,52.114.133.60,TCP,54,1949  >  443 [ACK] Seq=3863 Ack=4442 Win=131328 Len=0
560,30.769287,10.82.126.202,193.60.199.98,DNS,94,Standard query 0x268f A cp601.prod.do.dsp.mp.microsoft.com
562,30.784007,10.82.126.202,104.119.150.246,TCP,66,1951  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
564,30.790906,10.82.126.202,104.119.150.246,TCP,54,1951  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0
565,30.791347,10.82.126.202,104.119.150.246,TLSv1.2,267,Client Hello
569,30.798396,10.82.126.202,104.119.150.246,TCP,54,1951  >  443 [ACK] Seq=214 Ack=2797 Win=131328 Len=0
572,30.799298,10.82.126.202,104.119.150.246,TCP,54,1951  >  443 [ACK] Seq=214 Ack=5495 Win=131328 Len=0
574,30.806356,10.82.126.202,104.119.150.246,TLSv1.2,180,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
576,30.815665,10.82.126.202,104.119.150.246,TLSv1.2,593,Application Data
578,30.82449,10.82.126.202,104.119.150.246,TCP,54,"1951  >  443 [FIN, ACK] Seq=879 Ack=6710 Win=130048 Len=0"
579,30.835614,10.82.126.202,193.60.199.98,DNS,88,Standard query 0x4dfd A dl.delivery.mp.microsoft.com
581,30.843727,10.82.126.202,104.119.150.246,TCP,54,"1951  >  443 [RST, ACK] Seq=880 Ack=6741 Win=0 Len=0"
584,30.848023,10.82.126.202,2.17.115.33,TCP,66,1953  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
586,30.849134,10.82.126.202,2.17.115.33,TCP,54,1953  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0
587,30.849577,10.82.126.202,2.17.115.33,HTTP,365,GET /filestreamingservice/files/16408c09-f339-4f0a-b0ad-c629da82dd25/pieceshash HTTP/1.1 
588,30.849595,10.82.126.202,52.208.191.100,TLSv1.2,85,Encrypted Alert
589,30.849714,10.82.126.202,52.208.191.100,TCP,54,"1878  >  443 [RST, ACK] Seq=32 Ack=33 Win=0 Len=0"
591,30.851119,10.82.126.202,193.60.199.98,DNS,82,Standard query 0xbce4 A nimbus.bitdefender.net
593,30.858905,10.82.126.202,52.212.19.105,TCP,66,1956  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=8 SACK_PERM=1
596,30.861285,10.82.126.202,2.17.115.33,TCP,54,1953  >  80 [ACK] Seq=312 Ack=1449 Win=131328 Len=0
602,30.861605,10.82.126.202,2.17.115.33,TCP,54,1953  >  80 [ACK] Seq=312 Ack=8439 Win=131328 Len=0
605,30.861811,10.82.126.202,2.17.115.33,TCP,54,1953  >  80 [ACK] Seq=312 Ack=10127 Win=131328 Len=0
